Component,Description,References,Value,Quantity Per PCB,Part Number,Notes,Manufacturer
1,CAP CER 0402 X5R 0.1UF 10V,C4 C8 C10 C12 C13 C14 C15,0.1uF,7,GRM155R61C104KA88D,"X5R, 6.3V, 20% or better",Murata
2,CAP CER 1UF 10V X5R 0402,C3 C5 C6,1uF,3,CC0402KRX5R6BB105,"X5R, 6.3V, 20% or better",Yageo
3,CAP CER 0402 4.7UF X5R 10V,C1 C2 C7 C9 C11 C16,4.7uF,6,GRM155R61A475MEAAD,"X5R, 10V, 20% or better",Murata
4,DIODE SCHOTTKY 40V 750MA SOD323,D1 D4,BAT-165,2,BAT165E6327HTSA1,,Infineon
5,LED RGB DIFFUSED 4PLCC SMD,D3,CREE_LED_RGB,1,CLV1L-FKB-CHMMQEHBB7673673,,Cree
6,LED GREEN CLEAR CHIP SMD,D2,LED,1,APHHS1005CGCK,,Kingbright
7,Micro USB Rcpt,J1,USB_A,1,1054431101,,Molex
8,AUDIO MAGNETIC XDCR 2-4V SMD,LS1,SMT-0440-S-R,1,SMT-0440-S-R,,PUI Audio
9,NPN TRANSISTOR 1.5A 40V SOT-23 R,Q1 Q2 Q3,SS8050,3,SS8050-G,,ComChip
10,RES SMD 0 OHM JUMPER 1/10W 0402,R12 R13 R14,0,3,ERJ-2GE0R00X,or equivalent,Panasonic
11,RES 0402 10K 1%,R15,100,1,ERJ-2RKF1000X,5% or better,Panasonic
12,RES 0402 10K 1%,R4 R5 R6 R7 R8,10K,5,ERJ-2RKF1002X,5% or better,Panasonic
13,RES 0402 1K 1%,R1 R3 R9 R10 R11,1K,5,ERJ-2RKF1001X,5% or better,Panasonic
14,RES 0402 5.6K 1%,R2,5.6k,1,ERJ-2RKF5601X,5% or better,Panasonic
15,"Pushbutton Switch SPST-NO Standard Through Hole, Right Angle",SW1,SW_Push,1,FP11SPA1B1TP00,,C&K
16,Combo sensor,U5,BME680,1,BME680,,Bosch
17,IC BRIDGE USB TO UART 24QFN,U1,CP2102N-A01-GQFN24,1,CP2102N-A01-GQFN24,,Silicon Labs
18,WiFi/BT MCU,U7,ESP32-WROOM,1,ESP32-WROOM-32,,ESPRESSIF
19,IMU ACCEL/GYRO/TEMP I2C/SPI LGA,U6,ICM20602,1,ICM-20602,,TDK Invensense
20,3.3V LDO,U2,LP5912,1,LP5912-3.3DRVR,,TI
21,IC CONTROLLR LI-ION 4.2V SOT23-5,U3,MCP73831,1,MCP73831T-5ACI/OT,,Microchip
22,USB ESD protection diodes,U4,TPD3E001,1,TPD3E001DRLR,,TI





Component Groups:,24
Component Count:,50
Fitted Components:,48
Number of PCBs:,1
Total components:,48
Schematic Version:,02
Schematic Date:,2017-12-16
BoM Date:,Wed 31 Oct 2018 03:18:03 PM CDT
Schematic Source:,/home/bsmith/kicad/projects/hatchtrack/ht-001.sch
KiCad Version:,Eeschema 5.0.1-33cea8e~68~ubuntu16.04.1
